DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2021-0381-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:5090,,NPL,Nepal,Southern Asia,Asia,"Province 1, Bagmati Province, Gandaki Province and Sudur Pashchim Province",Monsoon rains,"Slide (land, mud, snow, rock)",No,No,No,,111105.91,Km2,,,,2021,7,1,2021,7,7,74,51,2050,,2101,,,,,,,86.38165694,"[{""adm1_code"":2153,""adm1_name"":""Eastern""},{""adm1_code"":2154,""adm1_name"":""Far Western""},{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22363,""adm2_name"":""Gandaki""}]",2021-07-07,2023-09-25
2021-0435-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Pune, Raigada, Satara and Ratnagiri (Maharasthra); Goa, Karnataka, Jharkhand, Bengale, Himachal Pradesh, Uttarakand states",Monsoon rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,6,1,2021,9,30,1282,,375000,,375000,,,,,3100000,3588725,86.38165694,"[{""adm1_code"":1490,""adm1_name"":""Goa""},{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70078,""adm1_name"":""Jharkhand""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""},{""adm2_code"":17776,""adm2_name"":""Pune""},{""adm2_code"":17777,""adm2_name"":""Raigarh""},{""adm2_code"":17778,""adm2_name"":""Ratnagiri""},{""adm2_code"":17781,""adm2_name"":""Satara""}]",2021-07-26,2023-09-25
2021-0455-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:5106|GLIDE:FL-2021-000097,,BGD,Bangladesh,Southern Asia,Asia,Cox’s Bazar,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,7,27,2021,8,3,21,,268744,,268744,,,,,,,86.38165694,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2021-07-29,2025-06-25
2021-0458-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Union Territories of Jammu and Kashmir and Ladakh",,,No,No,No,,,Km2,,,,2021,7,28,2021,7,29,37,17,105,,122,,,,,,,86.38165694,"[{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""}]",2021-07-29,2023-09-25
2021-0585-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Rajkot, Jamnagar, Porbandar, Valsad, Junagadh districts (Gujarat state)",Heavy rains,Broken Dam/Burst bank,No,No,No,,,Km2,,,,2021,9,13,2021,9,15,7,,850000,,850000,,,,,,,86.38165694,"[{""adm2_code"":17641,""adm2_name"":""Jamnagar""},{""adm2_code"":17642,""adm2_name"":""Junagadh""},{""adm2_code"":17647,""adm2_name"":""Rajkot""},{""adm2_code"":17653,""adm2_name"":""Valsad""},{""adm2_code"":70130,""adm2_name"":""Porbandar""}]",2021-09-15,2023-09-25
2021-0605-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,"Bagmati, Lumbini and Gandaki Provinces",Heavy rains,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,9,2,2021,9,6,13,10,1000,,1010,,,,,,,86.38165694,"[{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22363,""adm2_name"":""Gandaki""},{""adm2_code"":22364,""adm2_name"":""Lumbini""}]",2021-09-17,2023-09-25
2021-0630-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Gulab',IND,India,Southern Asia,Asia,"Srikakulam, Vizianagaram, Visakhapatnam, Kalingapatnam , Nizamabad, Hyderabad districts (Andhra Pradesh); Koraput, Malkangiri districts (Odisha); Aurangabad, Latur, Osmanabad, Parbhani, Nanded, Beed, Jalna, Hingoli districts (Maharashtra)",,,No,No,No,,90,Kph,,,,2021,9,26,2021,9,29,20,,,,,,,,,,,86.38165694,"[{""adm2_code"":17553,""adm2_name"":""Hyderabad""},{""adm2_code"":17562,""adm2_name"":""Nizamabad""},{""adm2_code"":17565,""adm2_name"":""Srikakulam""},{""adm2_code"":17566,""adm2_name"":""Vishakhapatnam""},{""adm2_code"":17567,""adm2_name"":""Vizianagaram""},{""adm2_code"":17770,""adm2_name"":""Latur""},{""adm2_code"":17772,""adm2_name"":""Nanded""},{""adm2_code"":17774,""adm2_name"":""Osmanabad""},{""adm2_code"":17786,""adm2_name"":""Aurangabad""},{""adm2_code"":70179,""adm2_name"":""Bid""},{""adm2_code"":70181,""adm2_name"":""Hingoli""},{""adm2_code"":70182,""adm2_name"":""Jalna""},{""adm2_code"":70186,""adm2_name"":""Parbhani""},{""adm2_code"":17814,""adm2_name"":""Koraput""},{""adm2_code"":70220,""adm2_name"":""Malkangiri""}]",2021-09-29,2023-09-25
2021-0645-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Shaheen',IND,India,Southern Asia,Asia,"Koraput and Malkangiri (Odisha); Srikakulam, Vizianagaram, Visakhapatnam districts (Andhra Pradesh); Telengana, Maharashtra, Gujarta",,,No,No,No,,,Kph,,,,2021,10,3,2021,10,3,7,,179000,,179000,,,,,,,86.38165694,"[{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm2_code"":17547,""adm2_name"":""Adilabad""},{""adm2_code"":17553,""adm2_name"":""Hyderabad""},{""adm2_code"":17554,""adm2_name"":""Karimnagar""},{""adm2_code"":17558,""adm2_name"":""Mahbubnagar""},{""adm2_code"":17559,""adm2_name"":""Medak""},{""adm2_code"":17560,""adm2_name"":""Nalgonda""},{""adm2_code"":17562,""adm2_name"":""Nizamabad""},{""adm2_code"":17564,""adm2_name"":""Rangareddi""},{""adm2_code"":17565,""adm2_name"":""Srikakulam""},{""adm2_code"":17566,""adm2_name"":""Vishakhapatnam""},{""adm2_code"":17567,""adm2_name"":""Vizianagaram""},{""adm2_code"":17568,""adm2_name"":""Warangal""},{""adm2_code"":17814,""adm2_name"":""Koraput""},{""adm2_code"":70220,""adm2_name"":""Malkangiri""}]",2021-11-05,2023-09-25
2021-0677-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2021-000161,,IND,India,Southern Asia,Asia,"Idukki, Kottayam, Pathanamthitta, Kollam, Achankovil, Thiruvananthapuram(Kerala state)",Heavy rains,,No,No,No,,,Km2,,,,2021,10,11,2021,10,20,39,,3500,450,3950,,,,,,,86.38165694,"[{""adm2_code"":17700,""adm2_name"":""Idukki""},{""adm2_code"":17702,""adm2_name"":""Kottayam""},{""adm2_code"":17706,""adm2_name"":""Pattanamtitta""},{""adm2_code"":17707,""adm2_name"":""Kollam""},{""adm2_code"":17709,""adm2_name"":""Thiruvananthapuram""}]",2021-10-18,2025-07-16
2021-0681-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Nainital (Uttarakhand state),Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,10,18,2021,10,19,57,17,1385,,1402,,,,,,,86.38165694,"[{""adm2_code"":70285,""adm2_name"":""Naini Tal""}]",2021-10-21,2023-09-25
